"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit","cancer_drug","notes"
"Famotidine*","Famotidine","10","2022939.2","3593191","520691408.2","996904056.88","no","H2 blocker; treats GERD, peptic ulcers, heartburn"
"Sertraline HCl","Sertraline HCl","12","2423241","3041276","721370794.7","967935403.73","no","SSRI antidepressant; treats depression and anxiety disorders"
"Hydralazine HCl*","Hydralazine HCl","10","1121049.6","1411222","676737358.6","884311412.5","no","Vasodilator; treats resistant hypertension"
"Clopidogrel","Clopidogrel Bisulfate","12","2894474.4","3259636","727618261.4","850873075.07","no","Antiplatelet; prevents thrombotic events post-stroke/MI"
"Duloxetine HCl","Duloxetine HCl","11","1667269.3","2465211","504196775.1","833627653.07","no","SNRI antidepressant; treats depression, anxiety, neuropathic pain"
"Tramadol HCl","Tramadol HCl","12","4018435","3884717","1003642331.8","811092107.12","no","Opioid analgesic; treats moderate to moderately severe pain"
"Montelukast Sodium","Montelukast Sodium","12","2173173.2","3063882","493687531.1","777605142.25","no","Leukotriene receptor antagonist; treats asthma and allergies"
"Allopurinol","Allopurinol","12","1835410.6","2262180","585879779.9","761131401.32","no","Xanthine oxidase inhibitor; prevents gout attacks"
"PEG-3350 And Electrolytes","PEG3350/Sod Sulf,Bicarb,Cl/KCl","12","147329.2","172866","609350770.5","738332365.23","no","Osmotic laxative; bowel preparation before colonoscopy"
"Triamcinolone Acetonide*","Triamcinolone Acetonide","10","2907597.2","3621019","552816987.4","721244441.87","no","Topical corticosteroid; treats inflammatory skin conditions"
"Pravastatin Sodium","Pravastatin Sodium","12","2782272","2403267","773815892.7","718249273.49","no","Statin; lowers cholesterol to reduce cardiovascular risk"
"Buspirone HCl","Buspirone HCl","12","868561.6","1420432","396377427.4","711156208.74","no","Anxiolytic; treats generalized anxiety disorder"
"Escitalopram Oxalate","Escitalopram Oxalate","12","1748556","2538742","419580904.5","685324209.9","no","SSRI antidepressant; treats depression and anxiety disorders"
"Alprazolam","Alprazolam","12","2275004.2","2265351","716413482.7","673477016.5","no","Benzodiazepine; treats anxiety and panic disorders"
"Oxycodone-Acetaminophen","Oxycodone HCl/Acetaminophen","12","2333508.1","2133988","677473443","657561113.56","no","Opioid analgesic combination; treats moderate to severe pain"
"Carbidopa-Levodopa","Carbidopa/Levodopa","12","467189.7","537069","483301249.9","646218953.32","no","Dopamine precursor; treats Parkinson's disease"
"Levetiracetam*","Levetiracetam","10","648002.6","766583","529119095.9","628122579.32","no","Anticonvulsant; treats epilepsy and seizures"
"Oxycodone HCl","Oxycodone HCl","12","1573011.8","2459774","639650738.2","623757017.18","no","Opioid analgesic; treats moderate to severe pain"
"Sodium Chloride*","0.9 % Sodium Chloride","10","85797.5","109257","497129177.5","621083374.12","no","Saline solution; used for IV fluid replacement and irrigation"
"Glipizide","Glipizide","12","1159600.8","1178840","559609480.3","604470304.7","no","Sulfonylurea; stimulates insulin release for type 2 diabetes"
"Atenolol","Atenolol","12","2173250.4","1630835","729995518.3","586690757.77","no","Beta-blocker; treats hypertension, angina, arrhythmias"
"Meloxicam","Meloxicam","12","3003277.3","3868062","466667343","583799698.92","no","NSAID; treats pain, inflammation, and arthritis"
"Spironolactone","Spironolactone","12","1404932.5","2081937","353255688.4","530462504.12","no","Potassium-sparing diuretic; treats heart failure and edema"
"Tizanidine HCl","Tizanidine HCl","12","1300198.4","1905964","382096701.7","528212835.23","no","Muscle relaxant; treats spasticity and muscle spasms"
"Prednisone","Prednisone","12","5505933.8","7163637","488261128","523600081.45","no","Corticosteroid; treats inflammation, autoimmune conditions, allergies"
"Lisinopril-Hydrochlorothiazide","Lisinopril/Hydrochlorothiazide","12","1594137","1536804","498771256.9","518680726.68","no","ACE inhibitor/diuretic combo; treats hypertension"
"Fluoxetine HCl","Fluoxetine HCl","12","1247153.3","1427221","427174994.3","514523270.82","no","SSRI antidepressant; treats depression, OCD, anxiety"
"Ezetimibe","Ezetimibe","8","1043790.1","1921217","258516238","512440340.81","no","Cholesterol absorption inhibitor; lowers LDL cholesterol"
"Glimepiride","Glimepiride","12","1225988.9","1187344","467487499.1","491911757.92","no","Sulfonylurea; stimulates insulin release for type 2 diabetes"
"Quetiapine Fumarate","Quetiapine Fumarate","12","1067433.4","1335528","386969149.5","491466566.72","no","Atypical antipsychotic; treats schizophrenia and bipolar disorder"
"Clonazepam","Clonazepam","12","1322247.9","1317240","483915261.3","490405152.99","no","Benzodiazepine; treats seizures, panic disorder, anxiety"
"Finasteride","Finasteride","12","1304850.8","1723562","353966030.8","480163834.7","no","5-alpha reductase inhibitor; treats BPH and male pattern baldness"
"Sucralfate","Sucralfate","12","579676.2","800942","246125267.8","476468530.35","no","Mucosal protectant; treats duodenal and gastric ulcers"
"Baclofen*","Baclofen","9","1165781.1","1303677","404571175.3","465422248.12","no","Muscle relaxant; treats spasticity from MS or spinal cord injury"
"Ibuprofen","Ibuprofen","12","2497826.9","3444665","381898509.8","439908257.02","no","NSAID; treats pain, inflammation, and fever"
"Jardiance","Empagliflozin","10","552580","1882768","123726848.9","435253096.37","no","SGLT2 inhibitor; treats type 2 diabetes and heart failure"
"Citalopram HBr","Citalopram Hydrobromide","12","1730355.2","1454397","447778690.1","429648474.7","no","SSRI antidepressant; treats depression and anxiety disorders"
"Cyclobenzaprine HCl","Cyclobenzaprine HCl","12","1736936.3","2458292","271016703.1","413599834.47","no","Muscle relaxant; treats acute musculoskeletal pain and spasms"
"Losartan-Hydrochlorothiazide","Losartan/Hydrochlorothiazide","12","1300141.5","1380777","352638120.1","408994374.64","no","ARB/diuretic combo; treats hypertension"
"Lorazepam*","Lorazepam","10","1996875","1805689","477438754.4","400316114.85","no","Benzodiazepine; treats anxiety, insomnia, seizures"
"Trelegy Ellipta","Fluticasone/Umeclidin/Vilanter","7","478268.9","1050583","171768906.6","398579165.99","no","Triple inhaler (ICS/LAMA/LABA); treats COPD"
"Memantine HCl","Memantine HCl","9","683602.4","892907","283132394.9","393631120.98","no","NMDA antagonist; treats moderate to severe Alzheimer's disease"
"Bupropion XL","Bupropion HCl","12","828725.2","1325901","220199858.1","381292022.13","no","Antidepressant (NDRI); treats depression and seasonal affective disorder"
"Donepezil HCl","Donepezil HCl","12","1340155.9","1468151","326977976.8","379762070.1","no","Cholinesterase inhibitor; treats Alzheimer's disease"
"Clonidine HCl","Clonidine HCl","12","946161.9","915528","390935594.8","374381123.59","no","Alpha-2 agonist; treats hypertension and ADHD"
"Ammonium Lactate","Ammonium Lactate","12","395469.6","491025","292451752.3","367627959.33","no","Topical moisturizer/keratolytic; treats dry skin and ichthyosis"
"Warfarin Sodium","Warfarin Sodium","12","1766664.6","942245","615084543.9","357833832.08","no","Anticoagulant; prevents and treats thromboembolic disorders"
"Venlafaxine HCl ER","Venlafaxine HCl","12","793377.8","954551","275472900.6","357425008.8","no","SNRI antidepressant; treats depression and anxiety disorders"
"Xarelto","Rivaroxaban","12","913781.2","1324165","211781915.5","353267092.74","no","Direct oral anticoagulant; prevents stroke and treats DVT/PE"
"Lamotrigine","Lamotrigine","12","501066.2","611083","264523784.4","348808034.44","no","Anticonvulsant; treats epilepsy and bipolar disorder"
"Mirtazapine","Mirtazapine","12","1212510","1551607","231824513.8","331574731.97","no","Antidepressant (NaSSA); treats depression, also used for insomnia"
"Celecoxib","Celecoxib","10","1008580.5","1627703","204340573.6","328745706.8","no","COX-2 selective NSAID; treats pain and arthritis"
"Isosorbide Mononitrate ER","Isosorbide Mononitrate","12","1111498.8","1121415","304491533.3","328024399.09","no","Nitrate vasodilator; treats and prevents angina"
"Hydroxyzine HCl*","Hydroxyzine HCl","10","806887","1319270","179992885.7","324681022.3","no","Antihistamine; treats anxiety, pruritus, nausea"
"Ketoconazole*","Ketoconazole","10","1259913.4","1750875","204139836.3","321237438.59","no","Antifungal; treats topical fungal infections"
"Propranolol HCl*","Propranolol HCl","10","522886.2","671925","233433789.9","320248625.91","no","Non-selective beta-blocker; treats hypertension, tremor, migraine"
"Topiramate","Topiramate","12","537864.4","644196","260140936.7","315425244.42","no","Anticonvulsant; treats epilepsy, migraines, and weight management"
"Valsartan","Valsartan","10","807186.8","1011848","213430020","314714002.5","no","ARB; treats hypertension and heart failure"
"Ropinirole HCl","Ropinirole HCl","12","546539","657631","239004934.2","313959465.12","no","Dopamine agonist; treats Parkinson's disease and restless legs"
"Synthroid","Levothyroxine Sodium","12","1042877.6","1002444","314783432.9","312353257.07","no","Thyroid hormone replacement for hypothyroidism (brand Synthroid)"
"Divalproex Sodium","Divalproex Sodium","12","422713.7","448623","276956941.1","300818146.97","no","Anticonvulsant; treats epilepsy and bipolar disorder"
"Glipizide ER","Glipizide","12","607714.2","815324","200792546","296705942.02","no","Sulfonylurea ER; treats type 2 diabetes"
"Entresto","Sacubitril/Valsartan","9","262795.4","663587","114158855.8","294653475.5","no","ARNI; treats heart failure with reduced ejection fraction"
"Fluticasone Propionate*","Fluticasone Propionate","10","4451945.2","4902813","256878537.4","294139968.22","no","Inhaled corticosteroid; treats asthma and allergic rhinitis"
"Diltiazem 24hr ER (Cd)","Diltiazem HCl","10","826254.4","965356","209186843.9","280155954.14","no","Calcium channel blocker; treats hypertension and angina"
"Nystatin*","Nystatin","10","1295713.2","1571473","259159024.4","277052985.96","no","Antifungal; treats oral and topical candidiasis"
"Zolpidem Tartrate*","Zolpidem Tartrate","10","1611831.7","1435449","254710742.6","269038128.65","no","Sedative-hypnotic; treats insomnia"
"Nifedipine ER","Nifedipine","12","643974.1","849024","179255577.3","259598926.78","no","Calcium channel blocker; treats hypertension and angina"
"Amitriptyline HCl","Amitriptyline HCl","12","804258.6","838449","239346211.9","255744614.73","no","Tricyclic antidepressant; treats depression and neuropathic pain"
"Dicyclomine HCl*","Dicyclomine HCl","10","741557.3","887927","207455907.6","254181808.24","no","Anticholinergic/antispasmodic; treats irritable bowel syndrome"
"Vascepa","Icosapent Ethyl","11","175271.1","279946","138431053.7","244927465.16","no","Omega-3 fatty acid; reduces triglycerides and cardiovascular risk"
"Torsemide","Torsemide","12","416994.2","675579","141549038.3","238873374.57","no","Loop diuretic; treats edema from heart failure and renal disease"
"Hydroxychloroquine Sulfate","Hydroxychloroquine Sulfate","12","444125.2","583911","161663564.1","236081561.48","no","Antimalarial/immunomodulator; treats RA and lupus"
"Olmesartan Medoxomil","Olmesartan Medoxomil","8","474766","773533","123490460.6","228152746.78","no","ARB; treats hypertension"
"Pioglitazone HCl","Pioglitazone HCl","12","589919.2","809827","152105632.8","226945273.57","no","Thiazolidinedione; insulin sensitizer for type 2 diabetes"
"Lovastatin","Lovastatin","12","1017122.7","681080","318147703.2","223247348.23","no","Statin; lowers cholesterol to reduce cardiovascular risk"
"Farxiga","Dapagliflozin Propanediol","10","263219.7","993909","56163302","222129205","no","SGLT2 inhibitor; treats type 2 diabetes, heart failure, CKD"
"Triamterene-Hydrochlorothiazid","Triamterene/Hydrochlorothiazid","12","940630.5","769706","247224258.6","217820193.72","no","Potassium-sparing diuretic/thiazide combo; treats hypertension"
"Januvia","Sitagliptin Phosphate","12","854916.7","843391","209445176.4","216685586.11","no","DPP-4 inhibitor; treats type 2 diabetes"
"Constulose","Lactulose","12","43300.1","84604","117727275.9","211952065.1","no","Osmotic laxative; treats constipation and hepatic encephalopathy"
"Paroxetine HCl","Paroxetine HCl","12","773508","697107","211594437.4","208272812.22","no","SSRI antidepressant; treats depression, anxiety, OCD"
"Oxybutynin Chloride ER","Oxybutynin Chloride","12","683138","881680","142479899.7","207695389.12","no","Anticholinergic; treats overactive bladder and urinary incontinence"
"Oxybutynin Chloride","Oxybutynin Chloride","12","621224.8","588870","222945811.9","205453022.83","no","Anticholinergic; treats overactive bladder and urinary incontinence"
"Breo Ellipta","Fluticasone/Vilanterol","11","437497.2","556799","144035825.4","198042424.4","no","ICS/LABA inhaler; treats asthma and COPD"
"Enalapril Maleate","Enalapril Maleate","12","676488.1","482684","251452809.7","196661050.93","no","ACE inhibitor; treats hypertension and heart failure"
"Bupropion HCl SR","Bupropion HCl","12","518748.4","544930","168560540.5","195258812.87","no","Antidepressant (NDRI); treats depression and smoking cessation"
"Amoxicillin","Amoxicillin","12","4868316.4","6202496","156463838.1","192850592.14","no","Aminopenicillin antibiotic; treats bacterial infections"
"Sevelamer Carbonate","Sevelamer Carbonate","7","109003.7","185489","156867413.8","192711419.67","no","Phosphate binder; treats hyperphosphatemia in CKD/dialysis"
"Chlorthalidone","Chlorthalidone","12","507657.5","783324","116143852.2","191523980.89","no","Thiazide-like diuretic; treats hypertension"
"Naproxen","Naproxen","12","1449760.2","1344536","221753673.8","191154203.39","no","NSAID; treats pain, inflammation, and arthritis"
"Risperidone","Risperidone","12","563063.6","478904","201558065.9","190322594.82","no","Atypical antipsychotic; treats schizophrenia and bipolar disorder"
"Esomeprazole Magnesium","Esomeprazole Magnesium","9","682804.9","685529","162656284.4","189275768.2","no","Proton pump inhibitor; treats GERD and peptic ulcers"
"Irbesartan","Irbesartan","12","428756.8","600969","118032991.4","188877011.5","no","ARB; treats hypertension and diabetic nephropathy"
"Benazepril HCl","Benazepril HCl","12","616964.7","540761","199635206.6","188748910.13","no","ACE inhibitor; treats hypertension and heart failure"
"Pramipexole Dihydrochloride","Pramipexole Di-HCl","12","322903.8","366660","150388510.7","186356896.13","no","Dopamine agonist; treats Parkinson's disease and restless legs"
"Methocarbamol*","Methocarbamol","10","495596.6","1036252","95047553.6","185995431.89","no","Muscle relaxant; treats musculoskeletal pain and spasms"
"Cephalexin","Cephalexin","12","4106060.9","5051787","158085640.7","184897876.76","no","Cephalosporin antibiotic; treats bacterial infections"
"Estradiol*","Estradiol","10","735945.5","1289816","122224000.6","184892355.69","no","Estrogen hormone; treats menopausal symptoms and osteoporosis"
"Primidone","Primidone","12","219036.1","279909","134524022","179832234.24","no","Anticonvulsant; treats essential tremor and epilepsy"
"Amiodarone HCl*","Amiodarone HCl","10","657400.8","797134","144354084.3","174513700.9","no","Antiarrhythmic; treats ventricular and atrial arrhythmias"
"Doxazosin Mesylate","Doxazosin Mesylate","12","524904.7","528955","154561891.2","173660318.06","no","Alpha-1 blocker; treats hypertension and BPH"
"Bumetanide*","Bumetanide","10","403896.1","522275","116834668.7","169202261.79","no","Loop diuretic; treats edema from heart failure and renal disease"
"Myrbetriq","Mirabegron","12","408551.8","769978","81330343.2","162854788.1","no","Beta-3 agonist; treats overactive bladder"
"Creon","Lipase/Protease/Amylase","12","134339.8","185325","112872011.5","162431874.04","no","Pancreatic enzyme replacement; treats exocrine pancreatic insufficiency"
"Meclizine HCl","Meclizine HCl","12","1136964.4","1294975","148501106.6","160926678.02","no","Antihistamine; treats vertigo, motion sickness, nausea"
"Flecainide Acetate","Flecainide Acetate","12","193886.4","300093","102535094.4","159405591.44","no","Antiarrhythmic (Class IC); treats atrial fibrillation/flutter"
"Enulose","Lactulose","12","35635.1","52079","113064778.4","153748923.07","no","Osmotic laxative; treats constipation and hepatic encephalopathy"
"Omega-3 Acid Ethyl Esters","Omega-3 Acid Ethyl Esters","10","271551.1","223941","166875923.1","153176093.13","no","Omega-3 fatty acid; lowers triglycerides"
"Doxycycline Hyclate*","Doxycycline Hyclate","10","2812869.6","4121486","112544915.3","151834848.94","no","Tetracycline antibiotic; treats bacterial infections, acne, malaria"
"Hydrocortisone*","Hydrocortisone","10","871143.4","1257661","103798455.1","150011637.05","no","Topical corticosteroid; treats inflammatory skin conditions"
"Ramipril","Ramipril","12","477243.3","388707","163242563.5","149866108.12","no","ACE inhibitor; treats hypertension, heart failure, post-MI"
"Acyclovir*","Acyclovir","10","660833.1","670065","123445992.2","149400333.27","no","Antiviral; treats herpes simplex and varicella-zoster infections"
"Labetalol HCl*","Labetalol HCl","10","247727.4","242891","145984299.7","148972248.92","no","Alpha/beta-blocker; treats hypertension"
"Aripiprazole","Aripiprazole","9","488583.7","613179","107398353.3","148225358","no","Atypical antipsychotic; treats schizophrenia, bipolar, depression adjunct"
"Fenofibrate","Fenofibrate","12","493585.2","500170","134281131.8","143772577.81","no","Fibrate; lowers triglycerides and raises HDL cholesterol"
"Midodrine HCl","Midodrine HCl","12","188437.3","355371","76330391","142254480.03","no","Alpha-1 agonist; treats orthostatic hypotension"
"Diazepam*","Diazepam","10","972421.6","872368","178548960.3","137247210.33","no","Benzodiazepine; treats anxiety, seizures, muscle spasms"
"Olanzapine*","Olanzapine","10","441795.5","516737","116896796.3","135172604.14","no","Atypical antipsychotic; treats schizophrenia and bipolar disorder"
"Ondansetron HCl*","Ondansetron HCl","10","1533215.4","2094495","102683737.2","134846372.18","no","5-HT3 antagonist; treats nausea and vomiting"
"Sotalol","Sotalol HCl","12","243879.2","262533","117065016.7","133283893.67","no","Antiarrhythmic (Class III); treats atrial and ventricular arrhythmias"
"Restasis","Cyclosporine","12","522150.4","492479","127524122.5","132524538.5","no","Topical immunosuppressant; treats dry eye disease"
"Amoxicillin-Clavulanate Potass","Amoxicillin/Potassium Clav","12","3495999.1","5205096","93782121.1","131953724.51","no","Penicillin/beta-lactamase inhibitor; treats bacterial infections"
"Amlodipine Besylate-Benazepril","Amlodipine Besylate/Benazepril","12","427320.6","419160","122721261.6","130859297","no","CCB/ACE inhibitor combo; treats hypertension"
"Divalproex Sodium ER","Divalproex Sodium","12","256106.5","232066","138926121","130429767.77","no","Anticonvulsant ER; treats epilepsy and bipolar disorder"
"Oxcarbazepine","Oxcarbazepine","12","168112.2","195822","103719233.2","129505178.73","no","Anticonvulsant; treats partial seizures and epilepsy"
"Carbamazepine","Carbamazepine","12","163064.2","135324","154496119.5","128338342.77","no","Anticonvulsant; treats epilepsy, trigeminal neuralgia"
"Terazosin HCl","Terazosin HCl","12","425858.2","339977","148964401.4","128181947","no","Alpha-1 blocker; treats hypertension and BPH"
"Valsartan-Hydrochlorothiazide","Valsartan/Hydrochlorothiazide","12","504260.4","422476","126423208.6","126875103.92","no","ARB/diuretic combo; treats hypertension"
"Clobetasol Propionate","Clobetasol Propionate","12","920501.4","1250981","97863440.6","123908945.84","no","Super-high potency topical corticosteroid; treats severe dermatoses"
"Advair Diskus","Fluticasone Propion/Salmeterol","10","864364.8","397554","285120220.8","123485894.8","no","ICS/LABA inhaler; treats asthma and COPD"
"Acetaminophen-Codeine","Acetaminophen With Codeine","12","1375739.9","1131972","167193409.1","122934247.87","no","Opioid analgesic combination; treats mild to moderate pain"
"Valacyclovir","Valacyclovir HCl","12","921109.5","1382297","73425708.9","122812867.5","no","Antiviral; treats herpes simplex and herpes zoster infections"
"Fenofibrate","Fenofibrate Nanocrystallized","12","403651.5","445258","97972236.3","122809348.32","no","Fibrate; lowers triglycerides and raises HDL cholesterol"
"Ondansetron ODT","Ondansetron","12","1237091.1","2510273","56501844.7","122468269.33","no","5-HT3 antagonist; treats nausea and vomiting"
"Ultra-Fine Mini Pen Needle","Pen Needle, Diabetic","10","332988.9","308396","129324768.3","122069040","no","Diabetic supply; pen needle for insulin injection"
"Morphine Sulfate ER","Morphine Sulfate","12","372696.5","255247","180778518.6","122020898.35","no","Opioid analgesic; treats severe chronic pain"
"Fluticasone-Salmeterol","Fluticasone Propion/Salmeterol","7","243633.9","464129","55935910.7","121280122.73","no","ICS/LABA inhaler; treats asthma and COPD"
"Levocetirizine Dihydrochloride","Levocetirizine Dihydrochloride","12","397029.4","642854","64939799.4","120274191.27","no","Antihistamine; treats allergic rhinitis and urticaria"
"Methylprednisolone","Methylprednisolone","12","2874538.2","4135771","83522172.9","117838170.01","no","Corticosteroid; treats inflammation and autoimmune conditions"
"Hydroxyzine Pamoate","Hydroxyzine Pamoate","12","317115.7","419149","79471961","117764566.91","no","Antihistamine; treats anxiety, pruritus, nausea"
"Ultra-Fine Short Pen Needle","Pen Needle, Diabetic","10","346335","287005","136916480.6","115104728.46","no","Diabetic supply; pen needle for insulin injection"
"Benztropine Mesylate*","Benztropine Mesylate","10","286199.5","256301","121522079.5","112468136.34","no","Anticholinergic; treats drug-induced parkinsonism and dystonia"
"Metoclopramide HCl*","Metoclopramide HCl","10","443197","402098","126146676","108272194.38","no","Prokinetic/antiemetic; treats gastroparesis and nausea"
"Anoro Ellipta","Umeclidinium Brm/Vilanterol Tr","10","241182.3","294512","81597603.8","108144710","no","LAMA/LABA inhaler; treats COPD"
"Methotrexate*","Methotrexate Sodium","10","479447.9","528748","93138867.5","107549803.79","yes","Antimetabolite; treats cancers (leukemia, lymphoma) and autoimmune diseases"
"Anastrozole","Anastrozole","12","304595.8","409158","79012380.3","105545495.2","yes","Aromatase inhibitor; treats hormone receptor-positive breast cancer"
"Nortriptyline HCl","Nortriptyline HCl","12","315758.6","302986","97531877","105149503.45","no","Tricyclic antidepressant; treats depression and neuropathic pain"
"Lantus Solostar","Insulin Glargine,Hum.Rec.Anlog","12","1005501.5","1198294","92780140.2","104272932.8","no","Long-acting insulin analog; treats type 1 and type 2 diabetes"
"Phenytoin Sodium Extended","Phenytoin Sodium Extended","12","177255.8","110333","157373406.2","102203256.38","no","Anticonvulsant; treats epilepsy and seizures"
"Promethazine HCl*","Promethazine HCl","10","588951","523738","95083618.1","101765339.99","no","Antihistamine/antiemetic; treats nausea, allergies, motion sickness"
"Linzess","Linaclotide","12","312626.5","565088","51318079.2","100595813.5","no","Guanylate cyclase-C agonist; treats IBS with constipation and CIC"
"Sulfasalazine","Sulfasalazine","12","95225.4","112219","76055545.7","99059165.646","no","Aminosalicylate; treats ulcerative colitis and rheumatoid arthritis"
"Megestrol Acetate","Megestrol Acetate","12","214017.1","168919","140228934.6","98702174.807","yes","Progestational agent; treats breast/endometrial cancer and cachexia"
"Gemfibrozil","Gemfibrozil","12","324212.8","199172","141490380.3","96918270.602","no","Fibrate; lowers triglycerides and cholesterol"
"Azelastine HCl*","Azelastine HCl","10","776343.2","1194948","58854793.5","96229133","no","Antihistamine nasal spray; treats allergic rhinitis"
"Digoxin*","Digoxin","10","476602.4","392747","107647963.5","95698945.576","no","Cardiac glycoside; treats heart failure and atrial fibrillation"
"Calcium Acetate","Calcium Acetate","12","137502.1","108459","125104185.8","95151608.464","no","Phosphate binder; treats hyperphosphatemia in CKD/dialysis"
"Sulfamethoxazole-Trimethoprim*","Sulfamethoxazole/Trimethoprim","10","3139905.2","3086523","102721505.7","95109456.35","no","Sulfonamide antibiotic; treats UTIs, respiratory, and ear infections"
"Nitroglycerin*","Nitroglycerin","10","991321.8","1348161","65110308.2","92798969.336","no","Nitrate vasodilator; treats and prevents acute angina"
"Brilinta","Ticagrelor","12","148993.3","234770","55412586.6","90507614","no","P2Y12 antiplatelet; reduces cardiovascular events in ACS"
"Cholestyramine","Cholestyramine (With Sugar)","12","167634.9","186287","88661325.6","90304805.578","no","Bile acid sequestrant; lowers LDL cholesterol"
"Verapamil ER","Verapamil HCl","12","334081.7","258464","101458239.5","90113090.184","no","Calcium channel blocker; treats hypertension, angina, arrhythmias"
"Mesalamine*","Mesalamine","10","57583.5","95185","59566458.3","88673542.646","no","Aminosalicylate; treats ulcerative colitis and Crohn's disease"
"Dextroamphetamine-Amphetamine","Dextroamphetamine/Amphetamine","12","166762.7","223418","70657222.3","88527134.5","no","Stimulant; treats ADHD and narcolepsy"
"Alendronate Sodium","Alendronate Sodium","12","1802643.4","2218723","57799891.2","87832694.73","no","Bisphosphonate; treats and prevents osteoporosis"
"Droplet Pen Needle","Pen Needle, Diabetic","8","75637.1","181598","34842751.3","87317624","no","Diabetic supply; pen needle for insulin injection"
"Telmisartan","Telmisartan","10","170516","289777","45998709.9","87093418","no","ARB; treats hypertension and cardiovascular risk reduction"
